"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"231","Jacob Mark",2948,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","socialistisk folkeparti","Sjællands "," Køge"," 24"," Studerende "," 4600 Køge"," Mand "," Nej ","Alle","6",5820,"1K",""
"232","Ronja Rose Ravnskov",428,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","socialistisk folkeparti","Sjællands "," Ringsted"," 20"," Tjener "," 4180 Sorø"," Kvinde "," Nej ","Alle","11",1130,"","5"
"233","Dorte Skovgård",291,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sjællands "," Kalundborg"," 56"," Indvandrerlærer ","  København V"," Kvinde "," Ja ","Alle","10",867,"","7"
"234","Villum Christensen",2451,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","liberal alliance","Sjællands "," Storkredskandidat, Slagelse"," 61"," Institutleder "," 4200 Slagelse"," Mand "," Ja ","Alle","1 2 3 5 8 9 10 11 12",9137,"1K",""
"235","Andreas Hastrup",2144,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","liberal alliance","Sjællands "," Storkredskandidat"," 56"," cand.merc. "," 4180 Sorø"," Mand "," Ja ","Alle","4 6 7",8966,"","1"
"236","Henrik Boye",825,"Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","liberal alliance","Sjællands "," Storkredskandidat"," 50"," Selvstændig "," 2680 Solrød Strand"," Mand "," Nej ","Alle","",3861,"","2"
"237","Vibeke Hellmann",377,"Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","liberal alliance","Sjællands "," Storkredskandidat"," 70"," Selvstændig "," 4840 Nørre Alslev"," Kvinde "," Ja ","Alle","",1618,"","5"
"238","Rikke Jakobsen",463,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Sjællands "," Storkredskandidat"," 46"," Købmand "," 4220 Korsør"," Kvinde "," Ja ","Alle","",1983,"","4"
"239","Jacob Hellwing",30,"Helt enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","kristendemokraterne","Sjællands "," Vordingborg"," Ukendt"," Værnepligtig "," 4760 Vordingborg"," Mand "," Nej ","Alle","3",98,"",""
"240","Egon Jakobsen",141,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","kristendemokraterne","Sjællands "," Næstved"," 67"," Socialpædagog, pensionist "," 4700 Næstved"," Mand "," Ja ","Alle","4 7 9",463,"",""
"241","Per Kristensen",59,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig","kristendemokraterne","Sjællands "," Roskilde"," 58"," Civilingeniør "," 4040 Jyllinge"," Mand "," Ja ","Alle","8",226,"",""
"242","Martin Sørensen",57,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","kristendemokraterne","Sjællands "," Ringsted"," Ukendt"," Efterskolelærer "," 4291 Ruds Vedby"," Mand "," Nej ","Alle","10 11",181,"",""
"243","Eric Steffensen",1372,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","dansk folkeparti","Sjællands "," Lolland"," Ukendt"," Udviklingskonsulent "," 4952 Stokkemarke"," Mand "," Nej ","Alle","1",3428,"","3"
"244","Liselott Blixt",5981,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Sjællands "," Køge"," 50"," Social- og sundhedsassistent "," 2670 Greve"," Kvinde "," Ja ","Alle","6",19248,"2K",""
"245","Henrik Brodersen",2450,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","dansk folkeparti","Sjællands "," Faxe"," 51"," VVS-montør "," 4243 Rude"," Mand "," Ja ","Alle","5",7657,"6K",""
"246","Gert Poul Christensen",786,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","dansk folkeparti","Sjællands "," Greve"," Ukendt"," Konsulent "," 2670 Greve"," Mand "," Nej ","Alle","7",2445,"","5"
"247","René Christensen",8180,"Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Sjællands "," Guldborgsund"," 45"," Automekaniker "," 4800 Nykøbing F"," Mand "," Ja ","Alle","2",15037,"3K",""
"248","Søren Espersen",14482,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","dansk folkeparti","Sjællands "," Kalundborg"," 62"," Journalist "," 4750 Lundby"," Mand "," Ja ","Alle","10",42873,"1K",""
"249","Heino Hahn",1201,"Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","dansk folkeparti","Sjællands "," Vordingborg"," Ukendt"," Viceborgmester "," 4773 Stensved"," Mand "," Nej ","Alle","3",3206,"","4"
"250","Jeppe Jakobsen",2255,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","dansk folkeparti","Sjællands "," Holbæk"," 27"," Bestyrelsesformand ","  Kalundborg"," Mand "," Ja ","Alle","9",6801,"1T",""
"251","Merete Dea Larsen",3511,"Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","dansk folkeparti","Sjællands "," Roskilde"," 37"," Farmakonom "," 4000 Roskilde"," Kvinde "," Ja ","Alle","8",10816,"5K",""
"252","Per Nørhave",1996,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","dansk folkeparti","Sjællands "," Ringsted"," 61"," Vicepolitikom. "," 4100 Ringsted"," Mand "," Ja ","Alle","11",5767,"","1"
"253","Thomas Palmskov",1378,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","dansk folkeparti","Sjællands "," Næstved"," 54"," Seniorsergent "," 4700 Næstved"," Mand "," Ja ","Alle","4",4375,"","2"
"254","Claus Bakke",1607,"Delvist enig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","venstre","Sjællands "," Lolland"," 50"," Ukendt "," Ukendt"," Mand "," Ja ","Alle","1",2136,"","6"
"255","Morten Dahlin",2986,"Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Delvist enig","venstre","Sjællands "," Slagelse"," Ukendt"," Ukendt "," Ukendt"," Mand "," Nej ","Alle","12",4608,"","1"
"256","Louise Schack Elholm",3185,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","venstre","Sjællands "," Ringsted"," 38"," Cand.polit. "," Ukendt"," Kvinde "," Ja ","Alle","11",4743,"1T",""
"257","Jens Hald",1569,"Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","venstre","Sjællands "," Holbæk"," Ukendt"," Ukendt "," Ukendt"," Mand "," Nej ","Alle","9",2383,"","5"
"258","Jacob Jensen",5864,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","venstre","Sjællands "," Kalundborg"," 42"," Cand.merc.jur. "," 4340 Tølløse"," Mand "," Ja ","Alle","10",8509,"3K",""
"259","Marcus Knuth",7351,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","venstre","Sjællands "," Vordingborg"," 39"," Ukendt "," Ukendt"," Mand "," Nej ","Alle","3",9986,"2K",""
"260","Karsten Nonbo",3049,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","venstre","Sjællands "," Næstved"," 63"," Kriminalassistent "," 4700 Næstved"," Mand "," Ja ","Alle","4",4548,"","2"
"261","Vibeke Nørly",1242,"Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","venstre","Sjællands "," Faxe"," 51"," Ukendt "," 3060 Espergærde"," Kvinde "," Nej ","Alle","5",1809,"","7"
"262","Benedikte Ask Skotte",2645,"Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","venstre","Sjællands "," Guldborgsund"," Ukendt"," Ukendt "," 2500 Valby"," Kvinde "," Nej ","Alle","2",3669,"","3"
"263","Christian Juhl",1648,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sjællands "," Roskilde"," 62"," Specialarbejder "," 8600 Silkeborg"," Mand "," Ja ","8.","1 ",4757,"1K",""
"264","Eva Flyvholm",2651,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sjællands "," Holbæk"," 34"," Politisk rådgiver for Enhedslisten på EU-området og det internationale område "," 2500 Valby"," Kvinde "," Nej ","9.","2 ",5135,"1T",""
"265","Jonathan Simmel",857,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sjællands "," Ringsted"," Ukendt"," Elektriker "," 2720 Vanløse"," Mand "," Nej ","11.","3 ",2943,"","1"
"266","Bruno Jerup",268,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sjællands "," Næstved"," 58"," Lektor "," 4160 Herlufmagle"," Mand "," Ja ","4.","4 ",2891,"","2"
"267","Troels Juel",488,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","enhedslisten","Sjællands "," Kalundborg"," Ukendt"," Studerende ","  Frederiksberg"," Mand "," Nej ","10.","6 ",3327,"","4"
"268","Martin Graff Jørgensen",328,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Sjællands "," Vordingborg"," Ukendt"," Studerende "," 4793 Bogø By"," Mand "," Nej ","3.","7 ",2145,"","5"
"269","Bente Lerche-Thomsen",650,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","enhedslisten","Sjællands "," Guldborgsund"," 60"," Daginst.leder "," 4800 Nykøbing F"," Kvinde "," Nej ","2.","8 ",2755,"","6"
"270","Carsten Oddershede",206,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sjællands "," Greve"," Ukendt"," Studerende "," 2670 Greve"," Mand "," Nej ","7.","9 ",1896,"","7"
"271","Ivan Mott",292,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Delvist enig","enhedslisten","Sjællands "," Køge"," Ukendt"," Teknisk serviceleder "," Ukendt"," Mand "," Ja ","6.","10 ",2869,"","8"
"272","Anker Schjerning",289,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","enhedslisten","Sjællands "," Slagelse"," 71"," Folkepensionist "," 4200 Slagelse"," Mand "," Nej ","12.","12 ",2812,"","10"
"273","Rasmus Nordqvist",1328,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Sjællands "," Ukendt"," 40"," Designer "," 2200 København N"," Mand "," Nej ","Alle","Alle",6362,"1T",""
"274","Jakob Jespersen",216,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Delvist uenig","alternativet","Sjællands "," Næstved"," Ukendt"," Pensionist "," 4700 Næstved"," Mand "," Nej ","Alle","",1042,"","5"
"275","Lea Lie",1194,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","alternativet","Sjællands "," Korsør"," Ukendt"," sygeplejerske, stud.scient.san. "," 4220 Korsør"," Kvinde "," Nej ","Alle","",5743,"","1"
"276","Søren Rønhede",198,"Helt enig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","alternativet","Sjællands "," Ukendt"," Ukendt"," Lektor emeritus "," 4760 Vordingborg"," Mand "," Nej ","Alle","",906,"","6"
"277","Tanja Schjellerup",304,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","alternativet","Sjællands "," Ukendt"," Ukendt"," Cand.mag. "," 4690 Haslev"," Kvinde "," Nej ","Alle","",1441,"","3"
"278","Carsten Bering",328,"Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Helt uenig","alternativet","Sjællands "," Ukendt"," 50"," Selvstændig "," 4700 Næstved"," Mand "," Nej ","Alle","",1525,"","2"
"279","Erik Christensen",4447,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Fyns "," Odense Øst"," Ukendt"," Folkeskolelærer "," 5540 Ullerslev"," Mand "," Nej ","Alle","1",8024,"4K",""
