Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Uffe Elbæk,18796,Delvist enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Ukendt, 61, Fhv. minister , 1826 Frederiksberg C, Mand , Ja 
Nilas Bay-Foged,353,Helt enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Ukendt, Ukendt, Cand.scient.adm , 2300 København S, Mand , Nej 
Rolf Bjerre,991,Helt enig,Delvist enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,alternativet,Københavns ," Nørrebro, Brønshøj", 36, Timebankskoordinator , 2200 København N, Mand , Nej 
Morten Ellehauge,186,Delvist uenig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Nørrebro, Ukendt, Leder , 2200 København N, Mand , Nej 
Erik Valentin Fischer,172,Delvist enig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Sundbyvester, 42, Handelslærer , 2300 København S, Mand , Nej 
Rune Lundgård Jørgensen,292,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Ukendt, Ukendt, Studerende , 2400 København NV, Mand , Nej 
Jan Kristoffersen,171,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Delvist enig,alternativet,Københavns , Ukendt, Ukendt, Selvstændig , 2720 Vanløse, Mand , Nej 
Carolina Magdalene Maier,1073,Helt enig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Slots, 42," Centerleder, Videnscenter for Patientstøtte ",  Frederiksberg, Kvinde , Nej 
Jacob Fuglsang Mikkelsen,194,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Sundbyøster, 43, Kunstner , 2300 København S, Mand , Nej 
Franciska Rosenkilde,766,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns , Vesterbro, Ukendt, Arbejdssøgende ,  København V, Kvinde , Nej 
Rune Peter Wingård,443,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Delvist uenig,alternativet,Københavns , Tårnby, Ukendt, cand.scient.soc. , 2300 København S, Mand , Nej 
Kashif Ahmad,0,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,uden for folketingsgrupperne,Københavns , Nørrebro, Ukendt, Byrådsmedlem , Ukendt, Mand , Nej 
Jan Elkjær,0,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,uden for folketingsgrupperne,Københavns , Vesterbro, Ukendt, Ukendt ,  København V, Mand , Nej 
John Erik Wagner,0,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,uden for folketingsgrupperne,Københavns ," Sundbyvester, Sundbyøster", 52, Modedesigner , 2300 København S, Mand , Ja 
Jesper Hostrup Hansen,133,Helt uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt uenig,Helt enig,Helt uenig,socialdemokraterne,Københavns Omegns , Gentofte, Ukendt, Bachelor i filosofi og sprogvidenskab , 2920 Charlottenlund, Mand , Nej 
Jeppe Bruus,2806,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns Omegns , Gladsaxe, 37, Kommunikationschef , 2300 København S, Mand , Ja 
Morten Bødskov,5935,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,Delvist uenig,socialdemokraterne,Københavns Omegns , Rødovre, 45, Fhv. minister , 2300 København S, Mand , Ja 
Kenneth F. Christensen,1466,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Delvist enig,Helt enig,Delvist uenig,Helt enig,Delvist uenig,socialdemokraterne,Københavns Omegns , Hvidovre, 39, Konsulent , 2650 Hvidovre, Mand , Ja 
Mette Frederiksen,24486,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Københavns Omegns , Ballerup, 38, Justitsminister , 2750 Ballerup, Kvinde , Ja 
Mogens Lykketoft,6795,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Københavns Omegns , Taastrup, 69," Folketingets formand, fhv. minister ", 2930 Klampenborg, Mand , Ja 
Simon Pihl Sørensen,1034,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,socialdemokraterne,Københavns Omegns , Lyngby, 49, cand.jur. , 2830 Virum, Mand , Nej 
Mattias Tesfaye,8545,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,socialdemokraterne,Københavns Omegns , Brøndby, 34, Murersvend , 2300 København S, Mand , Nej 
Sofie Carsten Nielsen,4303,Helt uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns Omegns , Gentofte, 40, Uddannelses- og Forskningsminister , 2200 København N, Kvinde , Ja 
Michael Blem Clausen,347,Helt enig,Helt enig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns Omegns , Brøndby, 40, Lærer , 2640 Hedehusene, Mand , Nej 
Özkan Ekiz,1113,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns Omegns , Ukendt, Ukendt, Køreskolelærer , 2660 Brøndby Strand, Mand , Nej 
Helge Vagn Jacobsen,276,Delvist uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns Omegns , Lyngby, 52, Vicedirektør , 3050 Humlebæk, Mand , Ja 
Susanne Wad Leth,248,Helt uenig,Helt enig,Helt uenig,Delvist enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns Omegns , Hvidovre, Ukendt, Ukendt , 2650 Hvidovre, Kvinde , Nej 
Jacob Juul Pedersen,314,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt uenig,radikale venstre,Københavns Omegns , Taastrup, Ukendt, Jurist , 2620 Albertslund, Mand , Nej 
Andreas Pourkamali,344,Delvist uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Københavns Omegns , Gladsaxe, Ukendt, cand.jur. , 2200 København N, Mand , Nej 
Cheri-Mae M. Williamson,153,Helt uenig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Københavns Omegns , Ballerup, Ukendt, Sygeplejerske , 2860 Søborg, Kvinde , Ja 
Casper Strunge,1137,Delvist enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,det konservative folkeparti,Københavns Omegns , Gentofte, 42, Filmproducent , 2930 Klampenborg, Mand , Ja 
Rasmus Jarlov,3419,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,det konservative folkeparti,Københavns Omegns ," Lyngby, Rødovre", 38, Selvstændig , 2400 København NV, Mand , Ja 
Mads Holger Norgård,977,Helt enig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,det konservative folkeparti,Københavns Omegns ," Ballerup, Hvidovre", 38, Forfatter , Ukendt, Mand , Nej 
Merete Scheelsbeck,1833,Helt enig,Helt uenig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist uenig,det konservative folkeparti,Københavns Omegns ," Brøndby, Taastrup", Ukendt, Kommunikationsmedarbejder , 2630 Taastrup, Kvinde , Nej 
Henrik Sørensen,200,Helt enig,Helt uenig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,det konservative folkeparti,Københavns Omegns , Gladsaxe, 49, Specialkonsulent , 2860 Søborg, Mand , Ja 
Lise Müller,624,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns Omegns , Gentofte, 41, Klinisk sygeplejevejleder , 2920 Charlottenlund, Kvinde , Nej 
Anders Wolf Andresen,303,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns Omegns , Hvidovre, 31, Udviklingskonsulent , 2650 Hvidovre, Mand , Nej 
Serdal Benli,1661,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialistisk folkeparti,Københavns Omegns , Gladsaxe, 36," Viceborgmester/konsulent, cand.scient.soc. ", 2880 Bagsværd, Mand , Ja 
Dorete Dandanell,476,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Københavns Omegns , Lyngby, Ukendt, Chefkonsulent , 2830 Virum, Kvinde , Nej 
Arly Eskildsen,309,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Københavns Omegns , Rødovre, 60, Organisationskonsulent , 2730 Herlev, Mand , Ja 
Bilal Inekci,480,Delvist enig,Helt enig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Københavns Omegns , Brøndby, 57, Socialrådgiver , 2635 Ishøj, Mand , Ja 
Morten Normann Jørgensen,707,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt enig,Hverken enig eller uenig,socialistisk folkeparti,Københavns Omegns , Ballerup, 26, Viceborgmester , 2800 Kgs. Lyngby, Mand , Ja 
Jan Kjær,107,Helt uenig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,socialistisk folkeparti,Københavns Omegns , Taastrup, Ukendt, Ukendt , 2640 Hedehusene, Mand , Nej 
Holger K. Nielsen,1578,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,socialistisk folkeparti,Københavns Omegns , Taastrup, 65, Fhv. minister , 2500 Valby, Mand , Ja 
Poul V. Jensen,470,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, 56, Selvstændig , 2900 Hellerup, Mand , Ja 
Sahar Aslani,353,Helt enig,Helt uenig,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist uenig,Delvist enig,liberal alliance,Københavns Omegns , Ukendt, 43, Pædagog , 2860 Søborg, Kvinde , Nej 
Charlotte Bircow Næss-Schmidt,1366,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Ukendt, 54, Fitness-coach , 2920 Charlottenlund, Kvinde , Nej 
Anne Jeremiassen,335,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, Ukendt, Fuldmægtig , 2800 Kgs. Lyngby, Kvinde , Nej 
Joachim B. Olsen,4259,Delvist enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, 38, Tidl. professionel sportsudøver , 2860 Søborg, Mand , Ja 
Frank Dahlgård,667,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, 69, cand.polit. , 2880 Bagsværd, Mand , Nej 
Michele Fejø,283,Helt enig,Helt uenig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist uenig,Delvist enig,liberal alliance,Københavns Omegns , Storkredskandidat, 46, Specialkonsulent , 2880 Bagsværd, Kvinde , Ja 
Søren Kreilgård,52,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, Ukendt, cand.merc. , 2950 Vedbæk, Mand , Nej 
Michael Melchert,228,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, Ukendt, Konsulent , 2620 Albertslund, Mand , Nej 
Tine Nørrekær,190,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, 51," Sexolog, plejecenterleder ", 2100 København Ø, Kvinde , Nej 
Carsten Zacho,209,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Københavns Omegns , Storkredskandidat, Ukendt, cand.merc. , 2660 Brøndby Strand, Mand , Nej 
Jihmmy Bach-Friis,102,Helt enig,Helt enig,Helt uenig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Delvist enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,kristendemokraterne,Københavns Omegns , Rødovre, Ukendt, IT-manager , 2720 Herlev, Mand , Nej 
Kim Grenov,299,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Delvist uenig,kristendemokraterne,Københavns Omegns , Gladsaxe, Ukendt, Projektingeniør , 2860 Søborg, Mand , Nej 
Sara Sejergård,187,Helt enig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt enig,Delvist uenig,kristendemokraterne,Københavns Omegns , Albertslund, 39, Lærer , 2620 Albertslund, Kvinde , Ja 
Anna Hede Christensen,996,Delvist enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt uenig,Delvist uenig,Helt enig,dansk folkeparti,Københavns Omegns , Gentofte, Ukendt, Studerende , 1722 København V, Kvinde , Nej 
Kenneth Kristensen Berth,1348,Delvist uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,dansk folkeparti,Københavns Omegns , Taastrup, 38, Specialkonsulent , 2625 Vallensbæk, Mand , Ja 
Mikkel Dencker,1536,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist uenig,dansk folkeparti,Københavns Omegns , Hvidovre, 40, Serviceassistent , 2650 Hvidovre, Mand , Ja 
Aia Fog,420,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,dansk folkeparti,Københavns Omegns , Brøndby, 48, Chefkonsulent , 2100 København Ø, Kvinde , Ja 
Pia Kjærsgård,26583,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,dansk folkeparti,Københavns Omegns , Ballerup, 68," Medlem af Præsidiet, 2. næstformand ", 2820 Gentofte, Kvinde , Ja 
