Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Frank Mosegård,354,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,socialdemokraterne,Sydjyllands , Ukendt, 43, Vinduesoperatør , 7323 Give, Mand , Nej 
John Nyborg,2719,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist uenig,socialdemokraterne,Sydjyllands , Fredericia, 52," Pædagog, Kontorchef i Børne- og ungeafdelingen Fredericia Kommune ", 7000 Fredericia, Mand , Nej 
Jesper Petersen,6842,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sydjyllands , Haderslev, 34, BA.scient.pol. ,  København V, Mand , Ja 
Troels Ravn,5891,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,socialdemokraterne,Sydjyllands , Vejen, 54, Skoleleder , 6600 Vejen, Mand , Ja 
Anne Sina,4582,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Helt enig,Helt enig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Sydjyllands , Aabenraa, 28, Cand.scient.pol. , 2300 København S, Kvinde , Ja 
Stephan Kleinschmidt,2819,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Sydjyllands ," Sønderborg, Tønder", Ukendt, Politisk rådgiver , 6400 Sønderborg, Mand , Nej 
Jonna Buch Andersen,326,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Sydjyllands , Varde, Ukendt, Socialrådgiver , 6753 Agerbæk, Kvinde , Nej 
Rune Christiansen,180,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Sydjyllands ," Fredericia, Kolding nord", 38, Lektor i historiedidaktik , 6000 Kolding, Mand , Nej 
Marlene Borst Hansen,927,Helt uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,radikale venstre,Sydjyllands ," Kolding syd, Haderslev", 41, Lærer , 2500 Valby, Kvinde , Ja 
Ole Lynggård Jørgensen,275,Hverken enig eller uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Sydjyllands , Vejle nord, Ukendt, Handelsskolelærer , 7100 Vejle, Mand , Nej 
